art,title_ru,committent_id
01_3310,Антикварное ведро для шампанского,12
02_102901,Антикварный гонг,12
02_0101,Старинный каминный набор,12
02_0173,Антикварный каминный набор,12
02_102902,Антикварные парные вазочки,12
02_1029,Антикварный гонг с парными вазочками,12
02_0174,Антикварный каминный набор «Цапля на рыбалке»,12
01_4233,Небольшая антикварная полка,12
01_3192,Настольная лампа «Дельфин»,12
01_2703,"Антикварная статуэтка ""Овсянка обыкновенная""",12
01_0186,Антикварные часы,12
02_0695,Винтажный журнальный столик,12
01_4489,"Подсвечник ""Хрустальная сова""",12
02_0314,Винтажная скульптура «Йога»,12
02_0313,Скульптура «Обнаженная»,12
02_1057,Антикварный телескоп,12
02_1008,Скульптура «Петух»,12
02_0763,"Держатели для книг (букенды) ""Львы""",12
02_0766,"Оригинальные букенды (держатели для книг) ""Лошади""",12
02_0765,Держатели для книг «Вепри»,12